;EU_kwic.docname;EU_kwic.pre;EU_kwic.keyword;EU_kwic.post
41;NR4064233EN04-15PP-CH300-15APCFIN-RS-Rural_Infrastructure-ORAN.docx.txt;greater added value for the;EU;funds employed
42;NR5005820EN06-12PP-CH363-12APCFIN-RS-forest-ORAN.docx.txt;, and thus create;EU;added value . - The
43;NR5005820EN06-12PP-CH363-12APCFIN-RS-forest-ORAN.docx.txt;States , and thus create;EU;added value . Recommendation 2
44;NR6004187EN04-13PP-CH234-13APCFIN-RS-LIFE_Environment-ORAN.docx.txt;, a synonym for;European;Added Value . EU interest
45;NR6004187EN04-13PP-CH234-13APCFIN-RS-LIFE_Environment-ORAN.docx.txt;for European Added Value .;EU;interest means contributing European level
46;NR6004187EN04-13PP-CH234-13APCFIN-RS-LIFE_Environment-ORAN.docx.txt;. EU interest means contributing;European;level . The European added
47;NR6004187EN04-13PP-CH234-13APCFIN-RS-LIFE_Environment-ORAN.docx.txt;contributing European level . The;European;added value of the programme
48;NR6004187EN04-13PP-CH234-13APCFIN-RS-LIFE_Environment-ORAN.docx.txt;therefore limiting the replication and;EU;added value . This demonstrates
49;NR6004187EN04-13PP-CH234-13APCFIN-RS-LIFE_Environment-ORAN.docx.txt;difference or demonstrative projects with;European;added value and the subsequent
50;NR6004187EN04-13PP-CH234-13APCFIN-RS-LIFE_Environment-ORAN.docx.txt;and award criterion for the;European;added value of the proposals
51;NR6057646EN04-15PP-CH082-15APCFIN-RS-Fisheries_Partnership_Agreements-ORAN.docx.txt;direct added value for the;EU;, which of the agreement
52;NR6057646EN04-15PP-CH082-15APCFIN-RS-Fisheries_Partnership_Agreements-ORAN.docx.txt;the added value for the;EU;and the of the agreement's
53;NR6057646EN04-15PP-CH082-15APCFIN-RS-Fisheries_Partnership_Agreements-ORAN.docx.txt;added value delivered to the;EU;/
54;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;needs to provide further;EU;added value together with the
55;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;replies financial solidarity , further;EU;added value has been limited
56;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;#NAME?;EU;added value has been limited
57;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;- tracking of vessels .;EU;added value : the value
58;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;the receive more funding .;EU;added value is further generated
59;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;supporting the EBF's effectiveness ,;EU;added value and the achievement
60;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;the solidarity . However further;EU;added value was limited and
61;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;overall b ) Increasing the;EU;added value of the Fund
62;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;Commission priorities and thereby delivered;EU;added value ? ( c
63;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;Have the EBF's effectiveness ,;EU;added value and the achievement
64;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;the financial solidarity and its;EU;added value . Programming and
65;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;are financial solidarity , further;EU;added value has been limited
66;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;. the EBF delivered further;EU;added value , notably by
67;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;the that the EBF's further;EU;added value was limited due
68;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;: Member States which have;EU;added value and to provide
69;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;therefor their ability to deliver;EU;added value . Since the
70;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;"annual with "" high """;EU;added value could not be
71;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;by the Court found limited;EU;added value , namely consular
72;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;and of the EBF's potential;EU;added value is its ability
73;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;be put at risk any;EU;added value . In the
74;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;identified above there was no;EU;added value . 46 .
75;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;three and Poland ) the;EU;added value of certain projects
76;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;not the Fund had limited;EU;added value since some projects
77;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;of . 47 . The;EU;added value of the EBF
78;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;further with low or unknown;EU;added value Funding projects already
79;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;A . However its further;EU;added value was limited ,
80;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;result financial solidarity but further;EU;added value has been limited
81;PRF002222EN05-14PP-CH123-14APCFIN-RS-EBF-ORAN.docx.txt;. borders but that further;EU;added value of the Fund
82;PRF066103EN05-15PP-CH331-15APCFIN-RS-EIT-ORAN.docx.txt;) question of the EIT's;European;added value because it is
83;PRF066103EN05-15PP-CH331-15APCFIN-RS-EIT-ORAN.docx.txt;if period 2010-2014 . The;European;added value is the additional
84;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;facility 74 - 87;European;added value 88 - 98
85;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;and 38 % . The;EU;added value of the facility
86;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;not planning period , the;EU;added value of the instrument
87;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;be . Furthermore , the;European;added value of the facility
88;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;examined Table 5 ) .;European;added value 88 . As
89;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;the does not imply that;EU;added value is delivered 94
90;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;94 . This aspect of;EU;added value is directly related
91;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;one . However , the;EU;added value of these results
92;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;not is undertaken . The;EU;added value of SMEG is
93;RCH007629EN06-10PP-CH164-10APCFIN-RS-SMEG-ORAN.doc.txt;demonstrated should therefore consider how;EU;added value could be maximised
94;text_SR_2016_03_Baltic_Sea.txt;the added value of the;EU;Strategy for for the Baltic
95;text_SR_2016_04_EIT.txt;) EITâ € ™ s;European;added value because it is
96;text_SR_2016_08_Rail_Freight.txt;financial support targeted to;EU;added value projects . Executive
97;text_SR_2016_12_Grant_management.txt;the added value of the;EU;involvement , grants , while
98;text_SR_2016_12_Grant_management.txt;scientific able to assess the;EU;added value and effectiveness of
99;text_SR_2016_12_Grant_management.txt;newly did not measure further;EU;added value and the overall
100;text_SR_2016_12_Grant_management.txt;of , strategic objectives ,;EU;added value to be achieved
101;text_SR_2016_23_Maritime_Transport.txt;established need , where;EU;added value is demonstrated and
102;text_SR_2016_23_Maritime_Transport.txt;there established need , where;EU;added value is demonstrated and
103;text_SR_2016_28_Health_Threats.txt;the audited projects in of;EU;resources achieves EU added value
104;text_SR_2016_28_Health_Threats.txt;in of EU resources achieves;EU;added value . The Commission
105;text_SR_2017_20_SME_guarantee.txt;synergies Our previous conclusion that;EU;added value could not be
106;text_SR_2017_20_SME_guarantee.txt;remains as an argument of;EU;added value , in particular
107;text_SR_2017_20_SME_guarantee.txt;Member instruments , thereby ensuring;EU;added value . Target implementation
108;text_SR_2018_09_PPP.txt;evaluation criteria to demonstrate;EU;added value , valueformoney and
109;text_SR_2018_16_Better_Regulation.txt;improving the added value of;EU;interventions . In to its
110;text_SR_2018_16_Better_Regulation.txt;improving the added value of;EU;interventions . Ex-post Commission aimed
111;text_SR_2018_16_Better_Regulation.txt;improving the added value of;EU;interventions according to - An
112;text_SR_2018_17_Absorption.txt;the added value of using;EU;funding to as the question
113;text_SR_2018_17_Absorption.txt;the added value of the;EU;co-financing remain , did not
114;text_SR_2018_17_Absorption.txt;any added value to the;EU;Budget . ) and thus
115;text_SR_2018_17_Absorption.txt;. ) and thus limited;EU;added value ( see paragraph
116;text_SR_2018_17_Absorption.txt;any added value to the;EU;budget (
117;text_SR_2018_19_High_Speed_Rail.txt;on the sustainability and;EU;added value of EU co-funding
118;text_SR_2018_19_High_Speed_Rail.txt;and EU added value of;EU;co-funding . We This means
119;text_SR_2018_19_High_Speed_Rail.txt;We This means a low;EU;added value of the EU
120;text_SR_2018_19_High_Speed_Rail.txt;EU added value of the;EU;co-funding of ) whether EU
121;text_SR_2018_19_High_Speed_Rail.txt;EU co-funding of ) whether;EU;co-funding had added value .
122;text_SR_2018_19_High_Speed_Rail.txt;answer . This limits the;EU;added value of the EU
123;text_SR_2018_19_High_Speed_Rail.txt;EU added value of the;EU;co-funding provided links generate the
124;text_SR_2018_19_High_Speed_Rail.txt;provided links generate the highest;EU;added value . In addition
125;text_SR_2018_19_High_Speed_Rail.txt;when leads to a low;EU;added value of the EU
126;text_SR_2018_19_High_Speed_Rail.txt;EU added value of the;EU;co-funding going by 2030 to
127;text_SR_2018_19_High_Speed_Rail.txt;going by 2030 to enhance;EU;added value . Based on
128;text_SR_2018_20_ APSA.txt;Increasing the added value of;EU;support In 2015
129;text_SR_2018_22_Erasmus_Plus.txt;of participants and multi-faceted;European;Added Value , however performance
130;text_SR_2018_22_Erasmus_Plus.txt;needs creates more forms of;European;Added Value than that required
131;text_SR_2018_22_Erasmus_Plus.txt;the + Mobility provides the;European;Added Value as required by
132;text_SR_2018_22_Erasmus_Plus.txt;Regulation 31 Erasmus + provides;European;Added Value in additional ways
133;text_SR_2018_22_Erasmus_Plus.txt;- and sport . EAV;European;Added Value EIF European Investment
134;text_SR_2018_22_Erasmus_Plus.txt;EAV European Added Value EIF;European;Investment Fund ESF assessed the
135;text_SR_2018_22_Erasmus_Plus.txt;ESF assessed the performance and;European;Added Value ( EAV )
136;text_SR_2018_22_Erasmus_Plus.txt;the assessed the performance and;European;Added Value ( EAV )
137;text_SR_2018_22_Erasmus_Plus.txt;the creates more forms of;European;Added Value than that required
138;text_SR_2018_22_Erasmus_Plus.txt;the + Mobility provides the;European;Added Value as required by
139;text_SR_2018_22_Erasmus_Plus.txt;Regulation . Erasmus + provides;European;Added Value in additional ways
140;text_SR_2018_25_Flood_Prevention.txt;investment where;EU;funds brought added value One
141;text_SR_2019_05_FEAD.txt;FEAD is to provide;EU;added value alongside other support
142;text_SR_2019_11_SESAR.txt;air justified in terms of;EU;added value and was well
143;text_SR_2019_11_SESAR.txt;assessed them . To ensure;EU;added value , common projects
144;text_SR_2019_11_SESAR.txt;"limited ; projects with a";European;added value and significant societal
145;text_SR_2019_11_SESAR.txt;need and added value of;EU;funding to support form of
146;text_SR_2019_17_Venture_capital.txt;States funding gap , the;EU;added value and potential synergies
147;text_SR_2019_19_INEA.txt;to fund projects with;EU;added value which remove bottlenecks
148;text_SR_2019_23_CAP_Stabilisation_Mechanisms.txt;about the added value of;EU;support . We without public
149;text_SR_2019_23_CAP_Stabilisation_Mechanisms.txt;We without public support .;European;added value is the value
150;text_SR_2019_23_CAP_Stabilisation_Mechanisms.txt;about the added value of;EU;support for insurance limited evidence
151;text_SR_2019_23_CAP_Stabilisation_Mechanisms.txt;insurance limited evidence of the;EU;added value of this support
152;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;policy funds having limited;EU;added value - the RES
153;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt; the RES projects did;European;Regional Development Fund EU added
154;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;did European Regional Development Fund;EU;added value : On a
155;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;On a general level ,;EU;added value is the value
156;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;from funds had a limited;EU;added value . V .
157;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;by policy funds having limited;EU;added value - the RES
158;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;did few cases was significant;EU;added value demonstrated . In
159;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;projects the intended effects of;EU;added value is improved administrative
160;TRE000054EN06-14PP-CH001-14APCFIN-RS-Renewable-Energy-ORAN.docx.txt;managerial RES had a limited;EU;added value . There has
161;TRE003439EN07-11PP-CH177-11APCFIN-RS-nuclear-decommissioning-ORAN.doc.txt;ex-ante evaluation of the;EU;added value of such intervention
162;TRE003439EN07-11PP-CH177-11APCFIN-RS-nuclear-decommissioning-ORAN.doc.txt;identifying ex-ante evaluation of the;EU;added value of such intervention
163;TRE009047EN05-12PP-CH397-12APCFIN-RS-Marco-Polo-ORAN.docx.txt;extent there is an;EU;added value . This would
164;TRE009047EN05-12PP-CH397-12APCFIN-RS-Marco-Polo-ORAN.docx.txt;making extent there is an;EU;added value . This would
165;TRE011065EN06-09PP-DEC016-10VO-RS-Research_Infrastructures-ORAN.doc.txt;The catalysing effect and;European;added value 25 - 28
166;TRE011065EN06-09PP-DEC016-10VO-RS-Research_Infrastructures-ORAN.doc.txt;â given the findings concerning;European;added value . Furthermore ,
167;TRE011065EN06-09PP-DEC016-10VO-RS-Research_Infrastructures-ORAN.doc.txt;objectives four criteria : -;European;"added value ; - scientific"
168;TRE011065EN06-09PP-DEC016-10VO-RS-Research_Infrastructures-ORAN.doc.txt;technological the co-financed studies exhibited;European;added value . 22 .
169;TRE011065EN06-09PP-DEC016-10VO-RS-Research_Infrastructures-ORAN.doc.txt;the The catalysing effect and;European;added value 25 . The
170;TRE011065EN06-09PP-DEC016-10VO-RS-Research_Infrastructures-ORAN.doc.txt;scheme s findings concerning the;European;added value and catalysing effect
171;TRE041988EN05-14PP-CH363-14APCFIN-RS-IWW-ORAN.docx.txt;necessary added value at the;European;Union level
172;TRE066255EN04-15PP-CH339-15APCFIN-RS-Rail-Freight-ORAN.docx.txt;financial support targeted to;EU;added value projects . EXECUTIVE
